Preload;variavel;W1;W2;W3;W4;
PCA - com reducao;CarteiraTrabAssalariados;0.119519713933284;0.119519713933284;0.119519713933284;0.119519713933284;
PCA - com reducao;AcessoSeguroDesempregoAssal;0.118104423507513;0.118104423507513;0.118104423507513;0.118104423507513;
PCA - com reducao;PropoRendaApposentadoriaAcima65anos;0;0;0;0;
PCA - com reducao;TxOcupadosRendaAbaixoPOF;0;0;0;0;
PCA - com reducao;RendimentoRealMedio;0.0752981381789276;0.0752981381789276;0.0752981381789276;0.0752981381789276;
PCA - com reducao;MassaRendaHabTodosTrab_noPIB;0.0107835160896749;0.0107835160896749;0.0107835160896749;0.0107835160896749;
PCA - com reducao;TxSubocupadasJornadaAcima44h;0.157026791847314;0.157026791847314;0.157026791847314;0.157026791847314;
PCA - com reducao;Gini_rendahabTodosTrabalhos;0.0516890596141855;0.0516890596141855;0.0516890596141855;0.0516890596141855;
PCA - com reducao;RendimentoRealMedio_SexoCor;0;0;0;0;
PCA - com reducao;PostosDirecao_MulheresNegras;0;0;0;0;
PCA - com reducao;GrevesPropositivas;0;0;0;0;
PCA - com reducao;ConfiancaSindicatos;0;0;0;0;
PCA - com reducao;AcidentesTrabalho_ponderadoSegurada;0.189833960364283;0.189833960364283;0.189833960364283;0.189833960364283;
PCA - com reducao;AfastamentoRemunerado;0;0;0;0;
PCA - com reducao;ReajustesAcimaINPC_MM;0.138461116374501;0.138461116374501;0.138461116374501;0.138461116374501;
PCA - com reducao;Admitidos_ContratosAtipicos_MM;0;0;0;0;
PCA - com reducao;SalarioMinimoReal_MM;0;0;0;0;
Arthur 4 pesos;TxCompostaSubutilizacao;0.3333333;114;1;1;
Arthur 4 pesos;PrevidenciaTodosTrab;0.0833333;95;1;3;
Arthur 4 pesos;CarteiraTrabAssalariados;0.0833333;70;1;1;
Arthur 4 pesos;AcessoSeguroDesempregoAssal;0.0833333;70;0.5;1;
Arthur 4 pesos;PropoRendaApposentadoriaAcima65anos;0.0833333;30;1;1;
Arthur 4 pesos;TxOcupadosRendaAbaixoPOF;0.0238095;95;1;1;
Arthur 4 pesos;RendimentoRealMedio;0.0238095;95;0.5;1;
Arthur 4 pesos;MassaRendaHabTodosTrab_noPIB;0.0238095;95;1;3;
Arthur 4 pesos;TxSubocupadasJornadaAcima44h;0.0238095;95;1;1;
Arthur 4 pesos;Gini_rendahabTodosTrabalhos;0.0238095;95;1;1;
Arthur 4 pesos;RendimentoRealMedio_SexoCor;0.0238095;95;1;1;
Arthur 4 pesos;PostosDirecao_MulheresNegras;0.0238095;95;1;1;
Arthur 4 pesos;GrevesPropositivas;0.0238095;50;1;1;
Arthur 4 pesos;ConfiancaSindicatos;0.0238095;114;0.5;1;
Arthur 4 pesos;AcidentesTrabalho_ponderadoSegurada;0.0238095;50;1;1;
Arthur 4 pesos;AfastamentoRemunerado;0.0238095;30;0.5;1;
Arthur 4 pesos;ReajustesAcimaINPC_MM;0.0238095;50;1;1;
Arthur 4 pesos;Admitidos_ContratosAtipicos_MM;0.0238095;50;1;1;
Arthur 4 pesos;SalarioMinimoReal_MM;0.0238095;50;1;3;
Arthur reduzido;TxCompostaSubutilizacao;0.3333333;0.3333333;0.3333333;0.3333333;
Arthur reduzido;PrevidenciaTodosTrab;0.3333333;0.3333333;0.3333333;0.3333333;
Arthur reduzido;CarteiraTrabAssalariados;0;0;0;0;
Arthur reduzido;AcessoSeguroDesempregoAssal;0;0;0;0;
Arthur reduzido;PropoRendaApposentadoriaAcima65anos;0;0;0;0;
Arthur reduzido;TxOcupadosRendaAbaixoPOF;0.066666;0.066666;0.066666;0.066666;
Arthur reduzido;RendimentoRealMedio;0;0;0;0;
Arthur reduzido;MassaRendaHabTodosTrab_noPIB;0;0;0;0;
Arthur reduzido;TxSubocupadasJornadaAcima44h;0;0;0;0;
Arthur reduzido;Gini_rendahabTodosTrabalhos;0.066666;0.066666;0.066666;0.066666;
Arthur reduzido;RendimentoRealMedio_SexoCor;0;0;0;0;
Arthur reduzido;PostosDirecao_MulheresNegras;0.066666;0.066666;0.066666;0.066666;
Arthur reduzido;GrevesPropositivas;0;0;0;0;
Arthur reduzido;ConfiancaSindicatos;0;0;0;0;
Arthur reduzido;AcidentesTrabalho_ponderadoSegurada;0.066666;0.066666;0.066666;0.066666;
Arthur reduzido;AfastamentoRemunerado;0;0;0;0;
Arthur reduzido;ReajustesAcimaINPC_MM;0.066666;0.066666;0.066666;0.066666;
Arthur reduzido;Admitidos_ContratosAtipicos_MM;0;0;0;0;
Arthur reduzido;SalarioMinimoReal_MM;0;0;0;0;
